,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_score_mean,test_score_std,train_score_mean,train_score_std
1,0.0040785471598307295,0.00024802609904799175,0.0009168783823649088,4.69332825225313e-05,0.5572687224669605,0.015020023895358874,0.5664789422135161,0.0017571865933407747
2,0.003928263982137044,0.00028783040104151227,0.0010633468627929688,8.454037281571266e-05,0.5712187958883995,0.016144371091994122,0.5807215148547176,0.0020224472238596033
4,0.0060990651448567705,0.00023653889480601496,0.0012680689493815105,0.00017268971472905961,0.5994860499265785,0.016119308663803362,0.6019425399934705,0.002137740916374282
8,0.014851013819376627,0.000948301725440935,0.003255764643351237,0.0005950179551407319,0.6178414096916299,0.016211014806034974,0.6176134508651648,0.0019288772931923843
16,0.06814781824747722,0.0044085484374191295,0.01200707753499349,0.0019959610248499546,0.6277533039647577,0.014857640488141014,0.630060398302318,0.0008618475384403648
32,0.4098024368286133,0.011835276987930353,0.07244062423706055,0.009124470708242498,0.6391336270190896,0.011098543654795127,0.6420992491021874,0.0015941907431133201
64,2.487154165903727,0.36060431571131585,0.24908224741617838,0.04224923574350937,0.6398678414096917,0.011049865597131,0.6474861247143323,0.0008501741207966133
128,49.178810596466064,2.783456428198228,3.8197014331817627,0.22253711584799346,0.6420704845814978,0.011689929022092994,0.6488328436173686,0.0012736276962395578
