,fit_time_mean,fit_time_std,score_time_mean,score_time_std,test_score_mean,test_score_std,train_score_mean,train_score_std
1,0.3688116868336995,0.04908705966166481,0.002777576446533203,0.0009255026608457929,0.5965210941267745,0.005178867053293043,0.5956378493969373,0.0038071960041029503
2,0.27805304527282715,0.050659000316698725,0.0019609928131103516,0.0008204098207991506,0.6436746159885746,0.0027022836061582974,0.6429588481251843,0.00199913630003927
4,0.4990818500518799,0.049170891343634164,0.0027964115142822266,0.0009244819493931178,0.6998686859155816,0.005721479068212376,0.7022371370520742,0.004128966496683345
8,0.8392923672993978,0.04308058119196809,0.003551006317138672,6.455906719983e-05,0.7380987328147169,0.0029253045519193237,0.7468051359120427,0.0013509676115490193
16,4.325035413106282,0.04699245731164747,0.012434244155883789,9.916283193569065e-05,0.7527541301759708,0.0006774207953740374,0.7768837403875408,0.0017031118303235623
32,15.935933033625284,0.14941714807657713,0.03808164596557617,0.009165521218093548,0.7393103811807026,0.00515614577119233,0.7834404517112713,0.002174387103974249
64,72.23699466387431,0.2535713288166669,0.35485267639160156,0.04236930465706368,0.7388688816198723,0.005027449629561762,0.7975440800539942,0.003740603866951317
128,2955.598263899485,32.68148653089158,45.48617625236511,6.2262672273302675,0.7285115523776907,0.0051602190656673255,0.8225542505807982,0.004729856537726755
